Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
"Todd, Martin and Hines",Snacks,77.84,Barajasport,2024-08-13,Walk,Farm,1,0.7
Peters LLC,Snacks,25.58,South Joseph,2024-02-07,Walk,Supermarket,9,2.1
Anderson-Anderson,Meat,90.64,New Sergio,2023-11-27,Bike,Food Bank,7,2.3
Morris-Brady,Canned Goods,19.43,Juliefurt,2024-08-26,Walk,Farm,7,1.1
Allen-Gardner,Grains,32.3,Port Lauraborough,2024-11-02,Drone,Food Bank,5,1.3
"Yates, Esparza and Duncan",Fruits,9.87,South Teresamouth,2024-02-03,Drone,Grocery Store,2,2.1
"Richards, Stephens and Gibson",Grains,12.3,Lake Lauraborough,2024-05-11,Drone,Supermarket,4,0.7
"Price, Ramirez and Nguyen",Frozen Food,83.84,Port Aaron,2024-03-16,Van,Food Bank,7,1.6
Brown-Lee,Fruits,33.21,Lake Wandaland,2024-02-13,Bike,Food Bank,7,1.7
Dickson Ltd,Frozen Food,68.72,Rosefort,2024-10-27,Bike,Supermarket,2,1.8
Baker-Edwards,Canned Goods,45.91,Edwardmouth,2024-07-28,Drone,Supermarket,9,0.6
West Inc,Grains,98.85,North Ryanton,2024-03-30,Truck,Grocery Store,7,2.2
Washington and Sons,Snacks,72.39,Rivasshire,2024-03-02,Drone,Food Bank,3,0.8
Lang-Russell,Canned Goods,36.8,North Audrey,2024-03-20,Bike,Restaurant,3,1.9
Harris Inc,Grains,85.36,Mitchellfurt,2024-01-24,Bike,Grocery Store,2,1.6
Stevenson Ltd,Dairy,56.37,Hooverside,2024-06-18,Van,Restaurant,1,2.1
Miller LLC,Bakery,16.49,East Gregoryland,2024-02-28,Truck,Supermarket,3,1.4
"Luna, Olson and Martin",Bakery,79.43,Lake Zachary,2024-10-08,Bike,Farm,6,1.1
Thomas Group,Fruits,57.34,Lewisland,2024-07-12,Van,Grocery Store,2,2.3
Barrett-Nelson,Fruits,53.89,Port Danielle,2023-12-18,Truck,Restaurant,3,1.3
Mcbride-Obrien,Dairy,99.31,Welchtown,2024-03-02,Bike,Food Bank,7,1.0
Farley Inc,Canned Goods,74.97,West James,2024-08-16,Truck,Restaurant,9,1.8
"Eaton, Norton and Harper",Vegetables,28.62,East Christophermouth,2024-09-28,Drone,Supermarket,8,1.0
"Phillips, Villegas and Smith",Dairy,87.89,Rickeyside,2024-09-29,Truck,Farm,7,1.3
Fleming Inc,Dairy,23.52,Woodfort,2024-08-30,Van,Restaurant,7,1.9
Hernandez PLC,Fruits,85.81,Brendachester,2024-11-08,Truck,Food Bank,3,1.8
Coleman Ltd,Bakery,54.12,Hollandshire,2024-06-21,Bike,Farm,1,1.6
Valenzuela PLC,Frozen Food,81.96,East Arianaton,2024-08-31,Bike,Grocery Store,4,1.8
"Taylor, Thompson and Hancock",Fruits,62.27,Lake Edwardfurt,2024-01-26,Bike,Grocery Store,3,1.7
"Turner, Reed and Reyes",Fruits,52.06,Jamesbury,2024-04-17,Drone,Grocery Store,1,1.8
"Johnson, Howard and Johnson",Bakery,40.2,Carolside,2024-05-19,Van,Farm,7,1.2
Ferguson-Woods,Meat,59.71,South Elizabethtown,2024-08-22,Drone,Food Bank,2,1.4
Lucas-Stevens,Fruits,97.84,Lisaland,2023-12-13,Van,Restaurant,8,1.2
"Atkinson, Smith and Evans",Frozen Food,20.63,West Michaelville,2024-05-13,Truck,Grocery Store,6,1.8
"Hunt, Valenzuela and Russell",Dairy,24.81,Carolynside,2024-01-01,Walk,Supermarket,8,0.6
"Lee, Phillips and Smith",Snacks,27.21,Kristenmouth,2024-03-27,Truck,Grocery Store,5,1.5
Mejia Group,Frozen Food,10.05,Kathleenhaven,2024-03-28,Walk,Restaurant,7,2.3
"Mann, Mccoy and Hicks",Grains,99.97,East Paulland,2024-07-03,Bike,Grocery Store,5,1.4
"Lloyd, Wright and Martinez",Frozen Food,80.45,New Melindamouth,2024-09-05,Bike,Farm,5,1.5
"Huang, Pollard and Davis",Fruits,31.71,West Danielland,2024-05-24,Walk,Grocery Store,6,2.7
"Willis, Hoffman and Mcclain",Vegetables,31.53,Mooreborough,2024-08-12,Truck,Food Bank,8,1.5
Flynn-Brown,Dairy,72.29,North Elizabethview,2024-05-15,Bike,Farm,8,0.8
Campbell-Brown,Frozen Food,81.19,Harperberg,2024-09-15,Walk,Supermarket,2,1.5
Ford Ltd,Meat,31.7,North Justinport,2023-11-27,Drone,Supermarket,7,2.7
Chambers-Chan,Canned Goods,96.67,Port Sarahton,2024-07-16,Drone,Supermarket,4,0.9
"Shea, Mccoy and Morgan",Snacks,22.95,New Russellview,2024-07-14,Drone,Restaurant,5,2.6
Maldonado-Savage,Grains,46.66,Roseville,2024-07-28,Van,Farm,4,2.2
Mayo-Carroll,Fruits,51.72,Gabriellestad,2024-03-17,Walk,Grocery Store,7,2.0
"Oliver, Henry and Davis",Meat,70.66,Katherineburgh,2024-07-06,Truck,Supermarket,3,1.0
Johnson and Sons,Meat,30.54,Mossbury,2024-06-05,Drone,Food Bank,3,2.4
"Hensley, Hutchinson and Hayden",Frozen Food,62.88,East James,2024-02-17,Walk,Grocery Store,6,1.9
Hernandez Group,Snacks,96.51,Martinchester,2024-04-12,Walk,Supermarket,6,2.9
"Cox, Williams and Murphy",Vegetables,18.9,East Adam,2024-03-18,Walk,Farm,4,1.1
"Cox, Mendoza and Villanueva",Fruits,38.41,West Manuel,2024-06-05,Bike,Farm,8,2.1
Hogan-Dominguez,Vegetables,79.51,Lake Joseph,2024-01-04,Van,Grocery Store,7,2.5
Watkins and Sons,Fruits,51.04,South Carol,2023-12-31,Truck,Supermarket,5,1.6
Mcdaniel and Sons,Dairy,61.67,Adamside,2024-08-26,Walk,Grocery Store,9,1.2
Tanner-Wolf,Vegetables,19.07,New Dakotafurt,2024-09-24,Drone,Food Bank,8,1.2
Duran-Ellis,Snacks,65.01,Lake Marie,2023-12-07,Walk,Farm,6,1.4
"Small, Meyer and Mcdaniel",Frozen Food,71.46,Michaelshire,2024-01-08,Walk,Farm,1,1.2
Miller Group,Grains,43.59,New Thomasland,2024-01-14,Bike,Grocery Store,5,1.9
"Duncan, Mullins and Sanchez",Fruits,96.37,Copelandhaven,2024-10-04,Drone,Restaurant,8,1.3
Torres-Howard,Bakery,46.8,Port Paul,2024-03-08,Drone,Supermarket,3,1.5
Davis Ltd,Canned Goods,47.22,North Emily,2024-06-05,Walk,Restaurant,7,1.1
Underwood-Wheeler,Snacks,50.81,Williamside,2024-07-12,Truck,Grocery Store,2,1.4
Diaz-Keith,Grains,13.14,Martinview,2024-02-13,Truck,Restaurant,3,2.3
"Frederick, Bishop and Johnson",Meat,84.64,Johnsonview,2023-11-17,Drone,Farm,5,2.8
Anderson Group,Meat,14.01,Wardshire,2024-07-18,Truck,Farm,7,2.2
Williamson-Caldwell,Canned Goods,28.95,Dixonfort,2024-10-14,Truck,Food Bank,5,1.9
Schneider-Durham,Fruits,84.74,Port Christopher,2023-11-19,Drone,Farm,7,0.6
Wilson and Sons,Meat,23.74,Russellland,2024-06-17,Walk,Supermarket,2,0.8
Suarez-Turner,Dairy,90.22,New Cassandra,2024-03-10,Walk,Farm,9,1.2
Cuevas-Cross,Vegetables,18.13,Kristenburgh,2024-11-05,Van,Grocery Store,7,2.7
Banks Ltd,Fruits,68.42,Mariefort,2024-03-11,Bike,Food Bank,1,3.0
"Alvarez, Hall and Mitchell",Dairy,90.61,East Josephborough,2024-08-19,Walk,Supermarket,3,0.6
Moore and Sons,Meat,29.49,Chavezchester,2024-06-13,Truck,Supermarket,5,2.6
Smith PLC,Canned Goods,86.93,East James,2024-05-21,Drone,Farm,9,1.3
Tran-Jenkins,Frozen Food,21.3,Nashburgh,2024-11-01,Drone,Farm,3,2.7
Morgan-Sheppard,Grains,29.92,West Kevinview,2024-02-21,Van,Grocery Store,8,1.1
Sullivan LLC,Snacks,67.47,South Barbara,2024-04-22,Van,Grocery Store,3,1.3
"Mccoy, Wells and Wilkins",Meat,98.32,Heidiburgh,2024-11-11,Drone,Farm,4,1.7
Brooks-Sandoval,Snacks,15.3,Lisahaven,2024-08-12,Drone,Food Bank,6,2.6
Salas-Mckay,Snacks,83.23,New Shirley,2024-10-24,Walk,Restaurant,6,2.4
"Johns, Shaw and Ross",Dairy,20.91,South Dakotamouth,2024-08-31,Bike,Restaurant,6,1.6
Fischer-Miller,Canned Goods,60.32,Port James,2024-06-10,Walk,Supermarket,2,1.5
Wilson-Fields,Vegetables,54.6,Janethaven,2024-08-20,Truck,Food Bank,4,1.0
Lee and Sons,Canned Goods,54.3,Holmesview,2024-02-25,Van,Grocery Store,2,2.2
"Bates, Anthony and Roberts",Snacks,33.95,West Linda,2024-11-08,Bike,Restaurant,8,0.5
Davis PLC,Dairy,99.58,East Kent,2024-10-12,Van,Grocery Store,6,1.3
Johnson Group,Vegetables,88.36,Sotoville,2024-07-07,Walk,Grocery Store,9,2.6
Miller-Jackson,Snacks,28.14,East Kayleeville,2024-04-18,Walk,Restaurant,5,2.1
"James, Ortiz and Espinoza",Snacks,13.16,Adamstad,2024-08-03,Van,Supermarket,1,0.6
Brown LLC,Bakery,36.53,Sparksmouth,2024-02-23,Drone,Farm,6,2.0
"Henry, Lee and Collins",Grains,66.14,North Sheilafurt,2024-10-27,Drone,Farm,3,1.6
Black PLC,Fruits,90.34,North Michael,2024-10-31,Truck,Farm,2,2.1
"Santana, Hood and Hodge",Canned Goods,62.47,Lake Michael,2024-05-29,Drone,Grocery Store,8,1.9
Mitchell PLC,Frozen Food,29.88,Alexanderberg,2024-08-06,Drone,Farm,1,2.6
"Carrillo, Shepherd and Murphy",Vegetables,93.62,North Catherineland,2024-04-18,Bike,Restaurant,8,0.8
Dawson Ltd,Dairy,63.56,Ginaburgh,2024-10-01,Van,Restaurant,1,0.6
Russell-Vargas,Bakery,41.82,Port Gina,2024-04-10,Bike,Restaurant,1,2.5
"Donovan, Scott and Allen",Meat,57.34,Romerofort,2024-04-07,Drone,Food Bank,3,0.6
Jordan-Murray,Frozen Food,33.22,New Thomas,2024-01-20,Bike,Restaurant,4,2.8
Ochoa and Sons,Dairy,34.16,New Drewchester,2024-09-26,Drone,Grocery Store,3,1.6
"Stanton, Richards and Jones",Frozen Food,36.0,Dawnstad,2024-08-29,Van,Grocery Store,1,0.8
Mitchell Inc,Fruits,51.03,Lake Lori,2024-07-26,Bike,Food Bank,2,2.0
Sandoval-Acosta,Vegetables,63.39,West Kelseyshire,2024-02-19,Walk,Restaurant,2,1.6
Walter Ltd,Dairy,65.0,Josephville,2024-09-12,Bike,Restaurant,6,3.0
"Bradley, Arnold and Gonzalez",Grains,69.37,Lake Patriciaville,2024-08-10,Walk,Grocery Store,3,1.9
"Anderson, Steele and Adams",Grains,13.88,North Kaylee,2023-12-25,Drone,Restaurant,9,2.2
Lane-Freeman,Vegetables,23.07,West Anthonyburgh,2024-05-14,Walk,Restaurant,1,0.7
Johnson Group,Bakery,46.34,New Brittanyborough,2024-08-01,Bike,Restaurant,6,0.7
Ruiz LLC,Meat,67.2,Kaylafurt,2024-08-30,Bike,Restaurant,8,2.5
Rhodes PLC,Meat,24.86,East Frances,2024-01-02,Drone,Restaurant,6,1.7
Hardy-Ali,Frozen Food,41.23,Lake Diana,2024-08-04,Bike,Grocery Store,9,0.8
Powell and Sons,Snacks,20.08,Brendabury,2024-03-09,Bike,Restaurant,6,1.6
Washington-Lopez,Meat,24.48,Arnoldbury,2024-06-12,Van,Farm,1,0.9
Allen-King,Fruits,29.93,New Amy,2024-10-25,Van,Grocery Store,5,1.3
Sanchez Ltd,Dairy,20.25,West Sean,2024-08-14,Truck,Supermarket,5,0.9
Nguyen Ltd,Vegetables,70.86,Jameston,2024-10-07,Truck,Restaurant,8,2.4
Kelley-Ray,Vegetables,72.75,Gloverberg,2024-10-21,Bike,Supermarket,9,2.3
"Shannon, Taylor and Hess",Grains,45.46,Kathyville,2023-12-29,Truck,Grocery Store,8,2.1
Johnson-Williams,Grains,7.81,East Jesse,2024-04-04,Walk,Grocery Store,9,0.5
Miller-Rivera,Fruits,93.91,South George,2024-01-19,Bike,Supermarket,3,2.0
Ryan LLC,Bakery,37.89,Edwardside,2024-06-06,Truck,Food Bank,8,1.0
Ball Inc,Frozen Food,56.96,Hernandezport,2024-03-11,Truck,Grocery Store,3,1.7
"Lane, Trevino and Johnston",Frozen Food,35.75,South Sarahbury,2024-10-23,Bike,Grocery Store,8,0.9
Keith Group,Canned Goods,61.77,Tuckerport,2023-12-01,Van,Restaurant,9,2.6
"Avila, Mora and Clark",Bakery,5.94,Garcialand,2024-04-09,Truck,Grocery Store,6,2.0
Conner LLC,Snacks,59.57,South Amyhaven,2024-09-15,Drone,Food Bank,5,0.8
"Duncan, Hanson and Clark",Vegetables,77.86,Alanfurt,2024-08-21,Van,Restaurant,9,2.8
Gardner Group,Bakery,33.45,North Jason,2024-07-15,Truck,Grocery Store,9,2.2
Vance Group,Bakery,39.26,Adamside,2024-09-30,Truck,Grocery Store,3,1.5
"Scott, Perez and Parks",Fruits,16.85,Michaelberg,2024-07-02,Bike,Food Bank,5,1.7
Hamilton LLC,Bakery,43.78,South Samanthaville,2024-07-22,Walk,Restaurant,1,1.6
Moore-Johnson,Grains,77.26,North Stacyberg,2024-07-26,Drone,Farm,2,1.2
Butler Inc,Bakery,34.3,Weeksview,2024-10-22,Drone,Supermarket,4,1.6
Mendoza Group,Fruits,56.87,Gonzalezton,2024-09-04,Bike,Restaurant,7,1.9
Walton-Wright,Snacks,86.12,West Alexandriamouth,2024-09-11,Drone,Supermarket,9,1.7
Jones-Mejia,Meat,62.38,West Michaelhaven,2024-04-23,Van,Restaurant,7,0.8
Cline-English,Fruits,43.99,Williamsmouth,2024-06-28,Walk,Supermarket,1,1.3
Harding Ltd,Grains,92.36,South Jeffery,2023-12-10,Van,Grocery Store,8,2.9
"Grant, Craig and Reyes",Frozen Food,42.29,Coleborough,2024-09-10,Bike,Restaurant,8,1.8
Smith-Camacho,Frozen Food,31.42,Andersonburgh,2024-11-10,Bike,Supermarket,4,1.7
Long and Sons,Dairy,59.89,New Robert,2024-01-21,Drone,Farm,4,2.5
Mack Inc,Frozen Food,20.76,Dianeshire,2023-12-30,Walk,Grocery Store,5,2.1
"Rivas, Young and Robbins",Vegetables,65.26,Parkerburgh,2024-02-10,Van,Farm,9,2.8
"Nelson, Mitchell and Williams",Snacks,81.72,Jonesview,2024-11-02,Truck,Supermarket,9,2.3
Martinez-Brown,Snacks,91.43,Rossland,2024-05-04,Walk,Restaurant,1,1.1
Goodwin-Kaufman,Vegetables,67.08,Drakeview,2024-03-19,Bike,Farm,8,1.4
"Hayes, Owens and Anthony",Grains,67.63,Port Jared,2024-01-13,Bike,Supermarket,4,1.0
Bell Inc,Dairy,21.86,Jasonside,2024-07-02,Walk,Food Bank,6,1.3
Woods-Brewer,Dairy,81.58,New Cliffordmouth,2024-01-23,Truck,Food Bank,5,1.3
Wheeler Group,Meat,76.78,South Aliceville,2024-03-11,Bike,Supermarket,8,2.5
"Guerra, Hanson and Murphy",Grains,54.88,Port Charlesview,2023-11-16,Walk,Supermarket,3,1.5
Hicks PLC,Dairy,92.82,New Katherine,2024-06-23,Drone,Food Bank,9,2.7
"Miller, Riley and Cisneros",Vegetables,62.37,Port Kara,2024-01-13,Bike,Supermarket,2,0.8
Clark-Saunders,Grains,52.47,Grayport,2024-07-24,Bike,Grocery Store,2,2.5
Rodriguez-Mitchell,Grains,20.53,Millerfort,2024-01-09,Truck,Farm,6,2.9
Rodriguez-Clark,Grains,30.09,Gloriaton,2024-09-13,Van,Grocery Store,5,1.0
Richard-Matthews,Frozen Food,64.53,Mullenfurt,2024-06-29,Truck,Supermarket,8,2.3
Johnson-Mayo,Snacks,21.71,Riverahaven,2024-03-20,Drone,Farm,6,0.7
Stevens PLC,Frozen Food,19.09,Dayborough,2024-07-13,Drone,Farm,6,2.2
Evans LLC,Grains,16.13,Turnerton,2024-04-28,Van,Food Bank,4,0.5
Robertson and Sons,Snacks,22.27,Port Richardton,2024-05-13,Van,Farm,2,0.9
Briggs-Henry,Vegetables,33.76,New Kristen,2024-11-11,Van,Restaurant,8,2.6
"Simpson, Gonzalez and Griffin",Frozen Food,85.89,Lake Johnhaven,2024-08-18,Bike,Grocery Store,8,1.2
"Mccullough, Gallagher and Barber",Canned Goods,40.86,South Jamesberg,2024-09-28,Truck,Food Bank,6,1.7
"Deleon, Castaneda and Lee",Meat,10.21,East Laurenchester,2024-07-08,Bike,Grocery Store,8,2.6
"Curry, Nelson and Robinson",Fruits,39.97,Kimberlyfurt,2024-06-03,Van,Grocery Store,5,2.6
Villarreal-Roach,Canned Goods,96.75,Christianshire,2024-06-09,Truck,Food Bank,2,2.9
Brown-Saunders,Grains,77.42,Karenside,2024-08-29,Walk,Restaurant,3,2.2
"Murray, Torres and Phillips",Bakery,79.35,South Toddberg,2023-12-03,Drone,Supermarket,7,2.0
"Alvarez, Harper and Griffin",Frozen Food,51.26,West Alejandra,2024-02-10,Van,Restaurant,1,0.7
Obrien LLC,Dairy,10.59,Melanietown,2023-12-23,Bike,Food Bank,8,0.8
Lopez PLC,Frozen Food,67.96,South Jonathan,2024-10-26,Drone,Supermarket,1,1.6
Bowen-Williams,Fruits,64.16,Ryanmouth,2023-12-28,Van,Supermarket,9,1.7
Oconnor PLC,Fruits,35.71,Port Susanburgh,2024-09-12,Walk,Supermarket,8,1.8
Bishop PLC,Vegetables,98.05,South Larrytown,2024-07-10,Bike,Food Bank,7,2.3
"Pittman, Rodriguez and Taylor",Vegetables,90.92,Calebland,2024-07-01,Bike,Supermarket,7,2.2
Petty-Howard,Snacks,82.38,Robertberg,2024-04-21,Truck,Restaurant,8,1.1
Anderson-Pitts,Frozen Food,63.18,East Amber,2023-12-07,Van,Food Bank,5,1.7
Davis Ltd,Meat,63.13,Port Carl,2024-01-25,Van,Farm,8,2.1
"Chung, Fitzgerald and Montgomery",Vegetables,91.0,Chadborough,2024-02-04,Van,Grocery Store,4,2.9
Chang-Paul,Bakery,66.08,Bryantmouth,2024-11-10,Van,Restaurant,1,0.9
"Cole, Floyd and Smith",Fruits,5.88,Theresaville,2023-12-22,Drone,Supermarket,2,2.9
"Smith, Townsend and Peck",Dairy,91.14,South Aliciaborough,2024-10-03,Truck,Food Bank,1,1.2
Lang PLC,Meat,34.14,Mitchellmouth,2024-06-18,Truck,Supermarket,5,2.4
"Rios, Harrington and Kelly",Snacks,69.93,South Heather,2024-01-27,Walk,Grocery Store,7,2.9
"Martinez, Lopez and Dillon",Vegetables,20.1,Jennifermouth,2024-01-23,Walk,Food Bank,5,0.8
Cox PLC,Frozen Food,25.13,Lake Williamfurt,2024-04-10,Bike,Supermarket,4,1.9
Williams Inc,Fruits,88.47,New Patriciafort,2024-03-05,Walk,Grocery Store,5,2.5
"Martin, Richardson and Hunter",Fruits,30.75,Melissabury,2024-02-03,Drone,Food Bank,2,2.6
Wolfe and Sons,Vegetables,35.88,Harrisburgh,2024-06-20,Walk,Restaurant,1,0.5
Haley-Baxter,Bakery,50.51,New Tanner,2024-11-07,Van,Farm,6,1.9
"Porter, Estes and Lane",Dairy,28.48,Josephtown,2024-10-18,Truck,Food Bank,7,1.2
"Young, Pacheco and Chavez",Vegetables,82.08,Port Kristinastad,2024-06-30,Van,Grocery Store,3,1.9
"Ryan, Saunders and Palmer",Meat,39.37,Dianashire,2024-07-30,Walk,Food Bank,1,0.7
"Coleman, Garcia and Lewis",Meat,6.97,New Monicamouth,2024-05-23,Walk,Food Bank,4,1.5
Zimmerman Group,Canned Goods,35.76,Davishaven,2023-12-27,Bike,Food Bank,6,1.3
Reynolds-Lambert,Fruits,9.6,Port Robertborough,2024-05-31,Drone,Supermarket,3,1.0
Thomas-Mack,Snacks,65.68,Robinsonport,2024-02-28,Bike,Grocery Store,2,2.8
"Adams, Brown and Allen",Dairy,18.74,New Joshua,2024-03-11,Walk,Supermarket,5,1.4
"Collins, David and Leon",Grains,90.24,Terryport,2024-03-04,Drone,Supermarket,8,1.3
"Wong, Cooke and Mitchell",Frozen Food,79.73,Paulahaven,2024-07-23,Truck,Restaurant,5,1.2
"Bailey, Barnes and Lopez",Snacks,20.28,Kellyside,2023-11-19,Walk,Food Bank,5,2.3
Murray LLC,Fruits,89.45,Port James,2024-11-05,Truck,Farm,6,0.9
"Salas, Zimmerman and Hardin",Frozen Food,17.47,Thomasport,2024-05-21,Van,Supermarket,8,0.9
Munoz-Wilson,Frozen Food,10.19,Nguyenchester,2024-06-08,Bike,Farm,4,2.3
Butler Ltd,Snacks,86.74,North Heatherbury,2024-05-22,Van,Restaurant,3,1.1
Orr Ltd,Snacks,20.83,New John,2024-06-09,Bike,Grocery Store,8,1.8
Johnson Inc,Fruits,52.16,Port Amy,2024-01-23,Walk,Food Bank,9,1.6
"Bennett, Brady and Jones",Snacks,65.39,Kristenstad,2024-07-18,Walk,Food Bank,8,1.7
Stone-Harris,Grains,40.3,South Stevenborough,2024-05-26,Walk,Farm,9,1.6
Dennis-Matthews,Bakery,90.58,East Jeffrey,2024-02-05,Drone,Supermarket,6,1.4
"Hunt, Chavez and Jones",Canned Goods,41.61,Madelineberg,2024-05-15,Walk,Food Bank,4,1.5
Anderson-Gillespie,Grains,42.98,New Eric,2024-01-10,Bike,Supermarket,3,2.7
"Pope, Cooley and Gutierrez",Frozen Food,31.18,Contrerasberg,2024-04-18,Drone,Farm,2,2.2
Castillo LLC,Snacks,88.66,Mccarthytown,2024-01-20,Van,Restaurant,1,2.3
Torres Group,Canned Goods,87.19,Rossport,2024-05-07,Walk,Farm,8,3.0
Estrada Inc,Meat,8.98,South Rebeccaborough,2024-02-12,Bike,Restaurant,3,2.9
Smith Inc,Grains,46.2,Cookestad,2024-03-24,Truck,Restaurant,5,1.5
"Spencer, Webb and Payne",Snacks,56.33,Port Nicholasborough,2024-09-30,Drone,Food Bank,2,1.6
Rice-Scott,Canned Goods,43.95,West Laura,2024-08-21,Drone,Supermarket,8,1.2
Taylor-Cole,Snacks,51.2,Rossland,2024-02-13,Truck,Restaurant,3,0.8
Hess Group,Snacks,82.11,West Larry,2024-05-31,Walk,Farm,7,2.9
"Thompson, Carey and Benson",Meat,24.81,Jennifermouth,2024-01-28,Bike,Supermarket,3,1.8
Tucker PLC,Frozen Food,30.7,Onealmouth,2024-06-14,Bike,Grocery Store,3,0.8
Robinson-Watson,Meat,86.35,East Richardfort,2024-01-08,Van,Restaurant,3,1.9
"Spears, Robles and Black",Fruits,35.63,North Mariomouth,2023-11-17,Drone,Grocery Store,9,2.3
"Vincent, Jenkins and Robertson",Canned Goods,15.89,New Stephenport,2024-06-10,Walk,Farm,6,1.8
Lee-Brown,Canned Goods,75.55,Andrewville,2024-01-30,Drone,Farm,1,1.3
"Harmon, Paul and Willis",Fruits,78.84,Smithville,2023-12-12,Drone,Farm,8,0.6
Elliott Ltd,Meat,62.13,New Dylanbury,2024-05-04,Van,Grocery Store,4,1.7
Hull and Sons,Grains,36.49,Dayfurt,2023-11-24,Bike,Supermarket,6,2.1
Potter and Sons,Frozen Food,17.66,Donaldville,2024-06-07,Drone,Grocery Store,4,2.7
Ramsey Ltd,Snacks,28.63,Baileyview,2024-04-21,Van,Grocery Store,3,1.5
"Mckinney, Barnes and Rodriguez",Vegetables,22.1,West Christine,2024-06-10,Walk,Food Bank,4,1.3
Watson Inc,Canned Goods,81.84,Janetton,2024-05-20,Van,Supermarket,9,1.9
Newton-Hunt,Bakery,80.44,Mariahborough,2024-05-19,Drone,Food Bank,1,2.9
"May, Olson and Bell",Meat,21.96,Port Patrick,2024-06-07,Walk,Grocery Store,3,2.5
Freeman-Simmons,Meat,65.33,Gibsontown,2024-05-09,Drone,Food Bank,9,1.2
Jimenez LLC,Grains,78.4,Smithville,2024-10-24,Bike,Supermarket,6,0.8
Ware and Sons,Canned Goods,17.28,Jacobsport,2024-01-30,Drone,Grocery Store,8,2.7
"Santana, Jones and Koch",Grains,39.97,East Richardfort,2024-11-06,Walk,Farm,6,2.2
"Brown, Thomas and Levine",Fruits,49.68,Antoniobury,2024-08-14,Truck,Farm,1,2.4
Smith Group,Canned Goods,90.74,Lake Andrew,2024-05-19,Walk,Supermarket,2,3.0
Murphy and Sons,Dairy,58.85,Lake Theresafurt,2024-07-11,Van,Farm,6,1.2
Dillon PLC,Dairy,89.71,West Karenport,2024-10-27,Walk,Food Bank,4,2.3
"Lynch, Robinson and Wheeler",Grains,69.54,West Paulview,2024-08-15,Drone,Food Bank,1,2.2
"White, Williams and Bates",Meat,99.4,New Michael,2023-12-13,Walk,Grocery Store,9,1.3
Khan-Anderson,Snacks,5.78,Bryanberg,2023-12-14,Van,Food Bank,6,1.1
"Becker, Peters and Levine",Meat,18.1,Jimenezport,2024-05-11,Truck,Supermarket,1,0.9
Rose Ltd,Vegetables,53.87,Gardnerberg,2024-04-26,Walk,Food Bank,7,2.3
Campbell LLC,Fruits,12.22,Kevinchester,2024-03-18,Truck,Farm,3,1.1
"Wheeler, Burke and Price",Snacks,59.89,Melissahaven,2024-03-20,Van,Restaurant,2,2.2
Owens PLC,Snacks,17.78,Jeromefurt,2024-04-20,Van,Restaurant,5,2.9
"Parker, Schneider and Dodson",Snacks,71.68,Reynoldstown,2024-02-06,Walk,Grocery Store,3,1.2
Kirby-Hodges,Bakery,23.81,Anthonyport,2024-01-10,Drone,Food Bank,4,1.1
Reed-Reyes,Bakery,22.69,Hoodfort,2023-12-27,Truck,Grocery Store,8,1.6
Raymond LLC,Canned Goods,40.94,East Rebekah,2023-11-21,Drone,Supermarket,8,1.8
"Cook, Sampson and Ali",Snacks,36.4,Jonathanburgh,2024-02-25,Drone,Farm,7,1.6
Morgan-Smith,Meat,87.6,South Chelsey,2023-12-04,Truck,Food Bank,6,2.7
Turner Inc,Canned Goods,68.09,New Matthewfurt,2024-01-23,Drone,Grocery Store,6,2.2
Edwards-Goodwin,Grains,20.63,North Kentbury,2024-05-23,Bike,Food Bank,5,0.5
"Garcia, Price and Cohen",Frozen Food,88.55,Fowlerview,2024-07-30,Bike,Supermarket,1,1.9
"Fritz, Hogan and Gordon",Grains,62.13,Port Briannabury,2024-06-30,Walk,Food Bank,2,1.5
Miller Ltd,Vegetables,46.38,West Susan,2024-06-26,Truck,Grocery Store,9,2.9
Marshall Inc,Vegetables,42.73,New John,2024-09-07,Truck,Supermarket,8,0.8
Robinson-Mckinney,Fruits,94.61,Hoffmanberg,2024-11-01,Van,Food Bank,3,1.1
Wilson and Sons,Frozen Food,21.17,West Jefferyview,2024-09-20,Drone,Restaurant,8,1.1
Daniel-Hamilton,Vegetables,33.17,Patriciaborough,2024-06-20,Walk,Restaurant,3,2.2
"Davis, Ingram and Hess",Meat,31.55,Williamfort,2024-10-08,Drone,Restaurant,9,2.3
"Morrison, Thompson and Peterson",Frozen Food,73.14,Seanberg,2024-03-30,Truck,Food Bank,8,1.3
"Miller, Martinez and Diaz",Bakery,58.72,Alexport,2024-10-10,Bike,Restaurant,7,1.6
Reynolds PLC,Frozen Food,52.05,Hallfurt,2024-07-30,Walk,Farm,5,2.4
"Johnson, Smith and Jimenez",Grains,9.43,Samuelbury,2024-07-25,Drone,Supermarket,5,2.7
Perez Ltd,Snacks,61.54,South Douglasfurt,2023-12-13,Truck,Grocery Store,9,2.1
"Wilcox, Harris and Peterson",Snacks,58.02,East Bonnieton,2023-11-18,Drone,Restaurant,5,2.9
Harris PLC,Fruits,61.64,Alexisborough,2023-12-25,Bike,Supermarket,2,0.9
Herring-Wilson,Vegetables,94.12,Ramseymouth,2024-06-27,Van,Food Bank,4,2.6
